"disfavoured.word","response.lower","entrained","interlocutor.SES","session.order","set","group","participantID","stimuli.order","f","experiment"
"serpent","snake",0,"H",2,1,"no prime","7cc015ad89e8725d6f84f3819e2616b32aea2867",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","cea76916ac43069c6cddf08bc9a7ddecf24d4fcd",1,0,"experiment 1"
"serpent","serpent",1,"H",2,1,"no prime","c21ef259d4c7d5599b29803443f1c9a1c6d30a14",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","5354054735d4c389d4217f95dd885b4895931399",1,0,"experiment 1"
"serpent","serpent",1,"H",2,1,"no prime","f9d1f110c6150857f160a26e7586e2b1b256cbdd",1,0,"experiment 1"
"serpent","serpent",1,"H",2,1,"no prime","e86b86f24e343dc630c9a27ce3b84a432d80776a",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","bf67938f3846f72a25e71283b4133efac3228ab3",1,0,"experiment 1"
"serpent","snakw",0,"H",2,1,"no prime","c47ef2ee92e5246e0b650ab3574049ed5a3f21ec",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","f35c47179c14434c54f71a591f90b000e96cbe62",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","caa6c441bcd98d4116c8a258e7b3c0b1b0eb0f62",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","5a18a50022a6d6ccdc098ce1e7d0be05d627d058",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","49dc132587c1d7748243891e366433fc9738a977",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","6884c7b5f1c6263a978e770142009d76ff12033d",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","7d08c8f1cfb85b42cd48b7847e447adcc36f0c29",1,0,"experiment 1"
"serpent","snek",0,"H",2,1,"no prime","53721adc7dbead2af8407ea7c6767d57f2c740cc",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","571ee092a869ecc09740c01a4cae424dfd24b11a",1,0,"experiment 1"
"serpent","ssss",0,"H",2,1,"no prime","aa8ee6a4080d5ae1250c61b5cfcb72c76d188d93",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","fdcc953049903fd381969d098189fbb1467da1e0",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","d4eb286f0affc18546e935a19a5f819e815152e7",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","8980f929a904527fe2db30a1d19e12e70f6822ad",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","cd2a71df4a59113c44ef6c6a6c98b46099a1cb79",1,0,"experiment 1"
"clotheswasher","washingmachine",0,"H",1,1,"no prime","fc2f3864bae1b1db60154104e8ffe03f04a039c8",2,0,"experiment 1"
"clotheswasher","clotheswasher",1,"H",1,1,"no prime","62ba14e06e81ef0703b63f58d50e2c95dbf6c521",2,0,"experiment 1"
"clotheswasher","washingmachine",0,"H",1,1,"no prime","00904d9e9077ef6e5d1108ff0ac82fff697e614d",2,0,"experiment 1"
